lat,lon,name
40.52222,-74.18974,CORNELIA AVE & WOLFES POND PARK TRL
40.52237,-74.21673,AMBOY RD & PENTON ST
40.52239,-74.21474,GILBERT PL & PENTON ST
40.52242,-74.18497,EDITH AVE & HUGUENOT AVE
40.5225,-74.21382,PENTON ST & SHARROTT AVE
40.52252,-74.17934,ARBUTUS AVE & CHESTER AVE
40.52258,-74.19001,CORNELIA AVE & HYLAN BLVD
40.52266,-74.19915,JOHANNA LN & SEGUINE AVE
40.5227,-74.22349,EMERALD CT & S  SERVICE RD
40.52274,-74.22274,SAVO LOOP & STATION AVE
40.52274,-74.18402,EDITH AVE & SWAIM AVE
40.52279,-74.22205,SAVO LOOP & STATION AVE
40.52281,-74.22155,SAVONA CT & STATION AVE
40.52281,-74.19926,KNOX ST & SEGUINE AVE
40.52286,-74.22068,CARLY CT & STATION AVE
40.52289,-74.17954,ARBUTUS AVE & JARVIS AVE
40.5229,-74.17461,NICOLOSI DR & NICOLOSI LOOP
40.52292,-74.2197,CANTERBURY CT & STATION AVE
40.523,-74.22482,UNNAMED ST & W SHORE EXPY NB EXIT
40.52309,-74.22375,RICHMOND PKWY NB EN PRK & RIDE & UNNAMED ST
40.52314,-74.18847,HYLAN BLVD & LUTEN AVE
40.52315,-74.21624,AMBOY RD & STATION AVE
40.52316,-74.20654,HASTINGS CT & MANEE AVE
40.52316,-74.17391,BERTRAM AVE & ZEPHYR AVE
